conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,formar al personal para reducir el desperdicio de alimentos,released,skill/competence,sector-specific,,"Crear nuevos cursos y medidas para el desarrollo del personal con el fin de reforzar sus conocimientos sobre la prevención del desperdicio de alimentos y sobre las prácticas de reciclado de alimentos. Asegurarse de que el personal entiende los métodos y las herramientas para el reciclado de alimentos, como la separación de los residuos.
	",http://data.europa.eu/esco/skill/6c4fa8c8-e9e1-49b5-897f-6b61fe649488,formar sobre procedimientos operativos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,desarrollar conceptos de ahorro de energía,released,skill/competence,cross-sector,proyectar medidas de ahorro energético | elaborar conceptos de ahorro energético,"Utilizar los resultados de las investigaciones actuales y colaborar con expertos para optimizar o desarrollar conceptos, equipos y procesos de producción que requieran una menor cantidad de energía, como las nuevas prácticas y materiales de aislamiento.",http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458 | http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c,pensar de manera innovadora | elaborar medidas y procedimientos operativos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,instalar bombas de calor,released,skill/competence,cross-sector,colocar bombas de calor,"Instalar bombas de calor que utilicen las propiedades físicas de sustancias denominadas refrigerantes para extraer calor de un entorno y liberarlo en un entorno más cálido, frente a un flujo de calor espontáneo. Crear las aberturas necesarias e instalar las partes de interior y de exterior de la bomba de calor. Conectarla a la electricidad y a cualquier conducto necesario, así como configurarla.",http://data.europa.eu/esco/skill/b85caa4a-f04b-4331-80df-11404fd71225,"instalar equipos de calefacción, ventilación y aire acondicionado"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,diseñar instalaciones de biomasa,released,skill/competence,sector-specific,,"Diseñar un sistema de energía de la biomasa. Definir los límites de la construcción, como el espacio necesario y el peso. Calcular indicadores como la capacidad, el flujo y las temperaturas. Realizar descripciones y dibujos detallados del diseño.
	",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,diseñar sistemas o equipos eléctricos o electrónicos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,mantener equipos de selección de residuos,released,skill/competence,sector-specific,realizar tareas de mantenimiento en equipos de selección de residuos | garantizar el funcionamiento de equipos de separación de residuos | reparar equipos de selección de residuos,Efectuar operaciones periódicas de mantenimiento y pequeñas reparaciones de los equipos utilizados para la selección de residuos y materiales reciclables.,http://data.europa.eu/esco/skill/5033c2fb-ec55-4b8e-b0a4-9379593f1e1c | http://data.europa.eu/esco/skill/6d0cad66-82dd-4854-a03a-68232942c68d,mantener el equipo | instalar componentes de madera y de metal
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,adoptar vías para fomentar la biodiversidad y el bienestar animal,released,skill/competence,transversal,,"Adoptar formas de actuar que ayuden a mantener unos ecosistemas estables y a combatir la extinción en masa, entre otros, optando de manera consciente por una alimentación que respalde la producción de alimentos orgánicos y el bienestar animal.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,hacer uso de capacidades y competencias medioambientales
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,llevar a cabo un estudio de viabilidad para sistemas de gestión de edificios,released,skill/competence,sector-specific,,"Analizar y evaluar la viabilidad de un sistema de gestión de edificios. Llevar a cabo un estudio estandarizado para determinar la contribución en términos de ahorro de energía, los costes y las limitaciones y realizar una investigación que respalde el proceso de toma de decisiones.
	",http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702 | http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06,ejecutar estudio de viabilidad | analizar operaciones empresariales
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c,normas en materia de exposición a la contaminación,released,knowledge,cross-sector,,"Los reglamentos relativos a la exposición a materiales contaminados o a un entorno peligroso que regulen las acciones relativas a la evaluación de riesgos, la reducción al mínimo de la exposición adicional, la cuarentena y el tratamiento de las personas expuestas.",http://data.europa.eu/esco/isced-f/1021,saneamiento de la comunidad
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02619401-8e21-46e5-8f19-204747fd755d,retirar materiales contaminados,released,skill/competence,sector-specific,eliminar materiales contaminados | apartar material y equipos contaminados,Retirar materiales y equipos que estén contaminados por sustancias peligrosas con el fin de proteger su entorno de una contaminación posterior y de tratar o desechar los materiales contaminados.,http://data.europa.eu/esco/skill/3727f0d3-da1b-4ce3-a9cb-efe6130fe41f | http://data.europa.eu/esco/skill/8bde58aa-9d5b-422b-801c-ff9186dd648e,evaluar la contaminación | manipular y eliminar materiales peligrosos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03d93bf5-3c09-489c-a0d7-a895b068041a,rescatar a animales,released,skill/competence,sector-specific,rescatar a animales en situación de riesgo | socorrer a animales | ayudar a animales en situación de riesgo | rescatar a animales en peligro | salvar a animales,Rescatar a animales a los que se encuentre en situaciones que supongan un peligro inmediato o potencial para su bienestar.,http://data.europa.eu/esco/skill/e9eb9c23-c1f4-4ce9-83c9-2f6a211cc536,mantener y hacer respetar la seguridad física
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04012dd1-478d-4eec-9951-dd623bfe86ca,agricultura climáticamente inteligente,released,knowledge,sector-specific,,"Un enfoque integrado para la gestión del paisaje cuyo objetivo es aumentar la productividad alimentaria y la resiliencia de los cultivos, garantizar la seguridad alimentaria, reducir las emisiones y adaptarse al cambio climático.
   ",http://data.europa.eu/esco/isced-f/0811,producción agrícola y ganadera
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/052b829c-67c5-466f-9300-0e0b001a68ef,redactar contratos de eficiencia energética,released,skill/competence,sector-specific,,"Preparar y revisar los contratos que describen la eficiencia energética al mismo tiempo que se garantiza que estos cumplan los requisitos legales.
	",http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74 | http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,negociar un acuerdo | escritura técnica o académica
